Date,City,Province,Incident,Type of Violence,Age of Victim,Gender of Victim,Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),News Report Link,Follow-up?,Follow-up link,Headlines
"6th January, 2021",Nawabshah,Sindh,Man kills daughter over honour,"Domestic violene, honour killing, murder",17,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-07/MjE4OTFjMTg4ODUyZjczZTNkZDFhZjBkYWNiMGE1MWUuanBlZw%3D%3D,,,
"6th January, 2021",Tharparker,Sindh,Man beats wife to death,"Domestic violence, murder",27,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-07/MjE4OTFjMTg4ODUyZjczZTNkZDFhZjBkYWNiMGE1MWUuanBlZw%3D%3D,,,
"6th January, 2021",Rawalpindi,Punjab,A woman and her 18-month-old daughter were allegedly killed by her husband,"Domestic violence, murder, child abuse",1,Female,Female,,,,https://tribune.com.pk/story/2279004/man-allegedly-kills-wife-18-month-old-daughter,,,
"6th January, 2021",Kohat,KP,Seven arrested for assaulting boy in Kohat,"Kidnapping, rape",13,Male,,,,,,,,
"7th January, 2021",Bahawalpur,Punjab,Woman gang-raped and man sexually assaulted,"Gang rape, sexual assault",,Female,Male,,,,https://www.dawn.com/news/1600240/three-arrested-for-gang-rape,,,
"7th January, 2021",Muzaffargarh,Punjab,Two minor girls were set ablaze over marriage dispute,"Domestic violence, murder, burning","1, 3",Female,Female,,,,https://www.dawn.com/news/1600243/two-minor-girls-set-ablaze-over-marriage-row-in-muzaffargarh; https://tribune.com.pk/story/2279131/two-toddlers-burnt-alive-by-stepmothers-father,,,
"7th January, 2021",Karachi,Sindh,"Two serial rapists booked on Feb 1, 2021 for being involved in raping women during house robberies, that the suspects had admitted sexually assaulting the mother of three at her house on Jan 7th (reported Feb 2, 2021)","Gang rape, robbery",,Female,,,,,https://www.thenews.com.pk/print/783605-two-serial-rapists-arrested-remanded-for-three-days; https://tribune.com.pk/story/2282040/cops-lodge-fir-of-womans-gang-rape-at-her-house,,,
"24th January, 2021",Dera Ghazi Khan,Punjab,A man confessed to having burnt to death his two minor daughters,"Domestic violence, murder","3, 1",Female,Female,,,,https://tribune.com.pk/story/2281228/two-minor-girls-woman-burnt-to-death-by-relatives,,,
"8th January, 2021",Lahore,Punjab,Woman killed by brother,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-09/NWNhNWM1N2MwZjQ5YzBjNjAyMGM4MzUyMGFlZjJkOGYuanBlZw%3D%3D,,,
"8th January, 2021",Lahore,Punjab,"Man rapes, kills brother","Child abuse, rape, murder",8,Male,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-09/M2ZiZDU1YjlkNzNmMTQyYzkwZmZlNDAzMTE0Njk2MjMuanBlZw%3D%3D; https://www.dawnnews.tv/news/1151175/,,,
"8th January, 2021",Samundari,Punjab,Girl raped as men enter house,Rape,,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-01-09/MDIxMzlkN2ZlYTEyNWIzMmU1YzI3MjBiYmMwY2NiMmEuanBlZw%3D%3D,,,
"8th January, 2021",Naushahro Feroze,Sindh,‘Underage’ girl’s marriage foiled,"Child abuse, underage marriage","Unknown, but minor",Female,,,,,https://www.dawn.com/news/1600428/underage-girls-marriage-foiled,,,
"8th January, 2021",Bahawalnagar,Punjab,In an FIR registerd on Jan 8 it was alleged that a police officer of the Elite Force official had broken into a woman's house and raped her at gunpoint in front of her son.,"Rape (report from Jan 22, 2021)",,Female,,,,,https://www.dawn.com/news/1602780/cop-facing-rape-allegations-suspended,,,
"9th January, 2021",Rawalpindi,Punjab,Relative attempts to molest 2 girls,Child abuse,"7, 8",Female,Female,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-10/MDg3YTcyODBmYjAxODgzYTI5OWRjOWE0OGFkNWExYjYuanBlZw%3D%3D,,,
"9th January, 2021",Samundari,Punjab,Woman set on fire by husband and inlaws,Domestic violence,,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-10/ODZkNjkxYzQxNmIyZjZkYzhlZTQ1MWM2ZDA5NjVlYjMuanBlZw%3D%3D,,,
"9th January, 2021",Chagai,Balochistan,A man committed suicide after killing his wife and injuring his daughter,"Domestic violence, murder",,Female,Female,,,,https://www.dawn.com/news/1600674/man-commits-suicide-after-killing-wife,,,
"9th January, 2021",Khairpur,Sindh,Minor girl raped and strangled to death,"Child abuse, rape, murder",7,Female,,,,,https://tribune.com.pk/story/2279907/protests-staged-over-minors-rape-killing,,,
"10th January, 2021",Bahawalnagar,Punjab,"Three arrested for rape, blackmail","Rape, blackmail, non-consensual filming",,Female,,,,,https://www.dawn.com/news/1600697/three-held-for-rape-blackmail-in-bahawalnagar,,,
"10th January, 2021",Lahore,Punjab,Two Christian sisters who were abducted and killed,"Kidnapping, murder","23, 25",Female,Female,,,,https://www.dawn.com/news/1600705/slain-sisters-family-alleges-police-of-victim-blaming,,,
"10th January, 2021",Shikarpur,Sindh,Jirga orders marriage of girl as karo-kari,"Forced marriage, Karo-Kari",,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-01-11/MGYyNmE5OWRkYjFjMjhmYTFhZTI0NjVlZTBkYzZjOTYuanBlZw%3D%3D,,,
"11th January, 2021",Karachi,Sindh,A woman was tortured to death allegedly by her in-laws at her house,"Domestic abuse, murder",22,Female,,,,,https://www.thenews.com.pk/print/772737-woman-killed-by-in-laws,,,
"11th January, 2021",Lahore,Punjab,Man arrested for assaulting minor grand-daughter,"Child abuse, rape",2,Female,,,,,https://www.thenews.com.pk/print/772885-man-arrested-for-assaulting-minor-grand-daughter; https://tribune.com.pk/epaper/news/Lahore/2021-01-12/ZjE0NzIyNDhjYTM3YWJmODU5ODI4OWIyZGZhNDY3NDkuanBlZw%3D%3D,Yes,https://www.thenews.com.pk/print/773223-rapist-cab-driver-s-murderer-arrested,
"11th January, 2021",Rawalpindi,Punjab,Woman killed by her in-laws after six months of marriage,"Domestic violence, murder",18,Female,,,,,https://tribune.com.pk/story/2279611/18-year-old-bride-killed-after-six-months-of-marriage,,,
"13th January, 2021",Lahore,Punjab,Man kills self after stabbing two daughters,"Domestic violence, murder","30, 34",Female,Female,,,,https://www.thenews.com.pk/print/773737-man-kills-self-after-stabbing-two-daughters-in-sanda ;https://tribune.com.pk/story/2279880/man-slays-disabled-daughters,,,
"13th January, 2021",Kharianwala,Punjab,Case registered regarding a man for poisoning his wife and two daughters 3 years ago ,"Domestic violence, murder",,Female,Female,Female,,,https://tribune.com.pk/story/2279875/man-booked-for-triple-murder-in-kharianwala,,,
"14th January, 2021",Charsadda,KP,Child lured and raped by a man,"Child abuse, rape",8,Male,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-01-15/MGM2YzljZGMyMmJkMDM3YjBjNzRjMjZiNWU0YWFkM2QuanBlZw%3D%3D,,,
"14th January, 2021",Hyderabad,Sindh,Woman shot dead by husband day after wedding,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-16/NDczZTExNjkzMDU4M2IwMzVjNTY3NjdhZWExYzQwZTMuanBlZw%3D%3D,,,
"14th January, 2021",Lahore,Punjab,A doctor confined his sister to a room in his house for 4 years during which he subjected her to torture to avoid having to pay her share of inheritance,"Domestic violence, torture",,Female,,,,,https://tribune.com.pk/story/2279988/doctor-imprisons-tortures-sister-for-four-years-to-deny-inheritance-in-lahore,,,
"14th January, 2021",Rawalpindi,Punjab,A man confessed to strangulating his wife and 18-month old daughter alleged to marry another woman. He kept the bodies with him for days before burrying them.,"Domestic violence, murder, child abuse",1,Female,Female,,,,https://tribune.com.pk/story/2280006/man-kept-sleeping-with-body-for-days-after-killing-wife,,,
"14th January, 2021",Narowal,Punjab,Polio worker attacked,Assault,,Female,,,,,https://www.dawn.com/news/1601571/armed-men-rough-up-woman-polio-worker,,,
"14th January, 2021",Sahiwal,Punjab,"A man chopped two fingers of his ex-wife, and injured his ex-brother-in-law and himself","Domestic violence, assault",,"Female, Male",,,,,https://www.dawn.com/news/1601725/man-chops-fingers-of-former-wife,,,
"15th January, 2021",Lahore,Punjab,Boy murdered after being sexually assaulted,"Child abuse, kidnapping, rape, murder",13,Male,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-16/ZjQwYzU5MTFlN2ViNzkzNTYzZjcwOTU2YmM1Y2VlZTAuanBlZw%3D%3D,,,
"15th January, 2021",Swabi,KP,A woman in was arrested was booked for allegedly burning her two step-daughters with iron.,"Domestic violence, torture, child abuse","13, 15",Female,Female,,,,https://tribune.com.pk/story/2280089/k-p-woman-held-for-burning-step-daughters-with-iron; https://www.dawn.com/news/1601820/woman-arrested-for-torturing-stepdaughters,,,
"16th January, 2021",Karachi,Sindh,Dead body of a woman thrown from a car,Murder,43,Female,,,,,https://www.thenews.com.pk/print/775488-woman-s-body-thrown-from-running-car-in-baldia-town,,,
"16th January, 2021",Karachi,Sindh,A 40-year-old transgender person was found dead with torture marks on the body,Murder,40,Transgender,,,,,https://www.dawn.com/news/1601876/transgender-person-murdered,,,
"16th January, 2021",Kasur,Punjab,A minor boy died from serious injuries for resisting a rape attempt,"Child abuse, attempted rape, murder",12,Male,,,,,https://www.dawn.com/news/1601892/minor-boy-injured-in-rape-bid-dies-in-hospital-in-lahore,,,
"16th January, 2021",Dijkot,Punjab,Two minor boys including a grade three student were allegedly sexually assaulted after being lured by 6 men,"Child abuse, gang rape",6,Male,Male,,,,https://tribune.com.pk/story/2280259/two-children-subjected-to-sexual-assault,,,
"16th January, 2021",Dijkot,Punjab,A nine-year-old boy was allegedly sexually assaulted. The suspect took the third grade student to his house under the pretext of giving charity money where he raped him.,"Child abuse, rape",9,Male,,,,,https://tribune.com.pk/story/2280259/two-children-subjected-to-sexual-assault,,,
"16th January, 2021",Khuzdar,Balochistan,A six-year-old child died after being burnt and allegedly raped,"Child abuse, rape",6,Male,,,,,https://tribune.com.pk/story/2280344/burnt-six-year-old-dies-after-alleged-rape,,,
"17th January, 2021",Lahore,Punjab,A man killed his brother-in-law and injured two others after his wife refused to reconcile with him,"Domestic violence, murder",27,Male,,,,,https://www.dawn.com/news/1602091/man-kills-brother-in-law-injures-two-others,,,
"17th January, 2021",Faislabad,Punjab,A man allegedly raped a 10-year-old girl after she left home to purchase some products from a nearby shop.,"Child abuse, rape, kidnapping",10,Female,,,,,https://www.dawn.com/news/1602231/minor-girl-raped,,,
"17th January, 2021",Mardan,KP,Two students molested by seminary driver,"Child abuse, rape","Unknown, but minor, 11",Male,Male,,,,https://tribune.com.pk/story/2280249/two-students-molested-by-seminary-driver,,,
"17th January, 2021",Khurrianwala,Punjab,A man tricked a woman into marrying him with fake documents. He allegedly kept the woman confined for eight months and also sexually assaulted her.,"Rape, confinement, fake marriage",,Female,,,,,https://tribune.com.pk/story/2280356/man-keeps-wife-captive-after-fake-marriage,,,
"17th January, 2021",Kasur,Punjab,A man was arrested for shooting his sister dead over domestic dispute.,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/story/2280359/man-arrested-for-killing-sister-in-kasur,,,
"17th January, 2021",Dijkot,Punjab,"A man, along with his father and brother were accused of setting his wife on fire for not bringing money from her parents’ house","Domestic violence, murder",,Female,,,,,https://tribune.com.pk/story/2281228/two-minor-girls-woman-burnt-to-death-by-relatives,,,
"18th January, 2021",Dijkot,Punjab,"10-year-old girl was abducted and raped by a motorcyclist. He later threw the girl unconscious on a road. (Reported on January 25, 2021)","Child abuse, rape, kidnapping",10,Female,,,,,https://tribune.com.pk/story/2280495/girl-woman-sexually-assaulted,,,
"18th January, 2021",Dijkot,Punjab,A woman was raped by owner and accomplice when she went to a shoe shop,Gang rape,,Female,,,,,https://tribune.com.pk/story/2280495/girl-woman-sexually-assaulted,,,
"18th January, 2021",Dijkot,Punjab,A man entered a woman's house and raped her.,Rape,,Female,,,,,https://tribune.com.pk/story/2280747/two-women-molested,,,
"19th January, 2021",Lahore,Punjab,Minor girl assaulted by her neighbour,Rape,7,Female,,,,,https://www.thenews.com.pk/print/777190-woman-commits-suicide-over-domestic-issue,,,
"20th January, 2021",Lahore,Punjab,Woman commits suicide over domestic issue,Suicide,24,Female,,,,,https://www.thenews.com.pk/print/777190-woman-commits-suicide-over-domestic-issue,,,
"20th January, 2021",Kasur,Punjab,A four-member joint investigation team (JIT) was formd to probe into the harassment case of two students of a private medical institute.,Harassment,,Female,Female,,,,https://www.dawn.com/news/1602618/jit-to-probe-students-harassment-case,,,
"20th January, 2021",Karachi,Sindh,A man was arrested over allegation of rape and murder of a female co-worker,"Rape, murder",,Female,,,,,https://www.dawn.com/news/1602905,,,
"21st January, 2021",Tandlianwala,Punjab,Police have arrested the father and marriage registrar for marrying an 11-year-old girl to a 28-year-old man.,"Child abuse, underage marriage",11,Female,,,,,https://tribune.com.pk/story/2280746/father-apprehended-for-marrying-off-11-year-old,,,
"21st January, 2021",Dijkot,Punjab,A woman went to attend the wedding of her friend where her brother drugged and raped her. ,Rape,,Female,,,,,https://tribune.com.pk/story/2280747/two-women-molested,,,
"21st January, 2021",Dera Ghazi Khan,Punjab,Minor girl raped,"Child abuse, rape",4,Female,,,,,https://tribune.com.pk/story/2280880/four-year-old-girl-molested-in-dera-ghazi-khan,,,
"21st January, 2021",Khurrianwala,Punjab,A minor boy was playing outside his house when his neighbor lured him and took him to his residence to sodomise him.,"Child abuse, rape, kidnapping",7,Male,,,,,https://tribune.com.pk/story/2280881/two-rape-cases-reported,,,
"21st January, 2021",Khurrianwala,Punjab,A woman went to the fields to defecate when two men raped her at gunpoint.,Gang rape,,Female,,,,,https://tribune.com.pk/story/2280881/two-rape-cases-reported,,,
"22nd January, 2021",Karachi,Sindh,A woman allegedly shot and killed her husband at their house,"Domestic violence, murder",45,Male,,,,,https://www.thenews.com.pk/print/778405-woman-shoots-dead-sleeping-husband,,,
"22nd January, 2021",Multan,Punjab,A man killed his daughter and then committed suicide himeslf,"Domestic violence, murder",,Female,,,,,https://www.thenews.com.pk/print/778533-psychiatrist-commits-suicide-after-killing-married-daughter; https://www.dawn.com/news/1602999/man-shot-dead-by-former-wife-in-gulshan,,,
"23rd January, 2021",Bahawalnagar,Punjab,Police recovered a 17-year-old girl and arrested a man who abducted and raped her by promising her a job.,"Child abuse, abduction, rape",17,Female,,,,,https://www.dawn.com/news/1603232/serial-rapist-held-in-bahawalnagar,,,
"23rd January, 2021",Jaranwala,Punjab,A woman was allegedly sexually assaulted at a clinic,Rape,,Female,,,,,https://tribune.com.pk/story/2281123/woman-raped-in-clinic,,,
"23rd January, 2021",Mardan,KP,A woman was allegedly gang-raped by three people while walking home,Gang rape,27,Female,,,,,https://tribune.com.pk/story/2281138/married-woman-sexually-assaulted-in-mardan,,,
"24th January, 2021",Karachi,Sindh,Man remanded for making fake Facebook IDs and blackmailing women,"Blackmailing, online harassment",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-24/ZGFkMzViMjgxN2Y4Y2MzMzkyNWMwYWViYjI2M2RlNmEuanBlZw%3D%3D,,,
"24th January, 2021",Chak Jhumra,Punjab,Three men attempt to rape women,Rape attempt,,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-01-25/ZTdhZjBjMDk4MGJlOWVmMGFhMWQ2M2ViMTkxMDhlN2MuanBlZw%3D%3D,,,
"24th January, 2021",Chak Jhumra,Punjab,Man attempts to rape minor boy,"Child abuse, rape attempt",5,Male,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-01-25/ZTdhZjBjMDk4MGJlOWVmMGFhMWQ2M2ViMTkxMDhlN2MuanBlZw%3D%3D,,,
"24th January, 2021",Lahore,Punjab,Girl brought to hospital after dying from an unsafe abortion,Death from unsafe abortion,,Female,,,,,https://www.dawn.com/news/1603581/university-student-dies-mysteriously,,,
"24th January, 2021",Khurrianwala,Punjab,A man killed his wife to death over unknown reasons and later committed suicide by hanging himself,"Domestic violence, murder",25,Female,,,,,https://tribune.com.pk/story/2281122/man-kills-wife-commits-suicide-1,,,
